id,name,generation,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,total_stats,height_m,weight_kg,type_combination,overall_rank
1,bulbasaur,Gen 1,7,69,64,45,49,49,65,65,45,grass,poison,318,0.7,6.9,grass / poison,787
2,ivysaur,Gen 1,10,130,142,60,62,63,80,80,60,grass,poison,405,1.0,13.0,grass / poison,605
3,venusaur,Gen 1,20,1000,236,80,82,83,100,100,80,grass,poison,525,2.0,100.0,grass / poison,189
4,charmander,Gen 1,6,85,62,39,52,43,60,50,65,fire,,309,0.6,8.5,fire,821
5,charmeleon,Gen 1,11,190,142,58,64,58,80,65,80,fire,,405,1.1,19.0,fire,605
6,charizard,Gen 1,17,905,240,78,84,78,109,85,100,fire,flying,534,1.7,90.5,fire / flying,157
7,squirtle,Gen 1,5,90,63,44,48,65,50,64,43,water,,314,0.5,9.0,water,798
8,wartortle,Gen 1,10,225,142,59,63,80,65,80,58,water,,405,1.0,22.5,water,605
9,blastoise,Gen 1,16,855,239,79,83,100,85,105,78,water,,530,1.6,85.5,water,163
10,caterpie,Gen 1,3,29,39,45,30,35,20,20,45,bug,,195,0.3,2.9,bug,1017
11,metapod,Gen 1,7,99,72,50,20,55,25,25,30,bug,,205,0.7,9.9,bug,1007
12,butterfree,Gen 1,11,320,178,60,45,50,90,80,70,bug,flying,395,1.1,32.0,bug / flying,640
13,weedle,Gen 1,3,32,39,40,35,30,20,20,50,bug,poison,195,0.3,3.2,bug / poison,1017
14,kakuna,Gen 1,6,100,72,45,25,50,25,25,35,bug,poison,205,0.6,10.0,bug / poison,1007
15,beedrill,Gen 1,10,295,178,65,90,40,45,80,75,bug,poison,395,1.0,29.5,bug / poison,640
16,pidgey,Gen 1,3,18,50,40,45,40,35,35,56,normal,flying,251,0.3,1.8,normal / flying,966
17,pidgeotto,Gen 1,11,300,122,63,60,55,50,50,71,normal,flying,349,1.1,30.0,normal / flying,710
18,pidgeot,Gen 1,15,395,216,83,80,75,70,70,101,normal,flying,479,1.5,39.5,normal / flying,424
19,rattata,Gen 1,3,35,51,30,56,35,25,35,72,normal,,253,0.3,3.5,normal,964
20,raticate,Gen 1,7,185,145,55,81,60,50,70,97,normal,,413,0.7,18.5,normal,584
21,spearow,Gen 1,3,20,52,40,60,30,31,31,70,normal,flying,262,0.3,2.0,normal / flying,953
22,fearow,Gen 1,12,380,155,65,90,65,61,61,100,normal,flying,442,1.2,38.0,normal / flying,526
23,ekans,Gen 1,20,69,58,35,60,44,40,54,55,poison,,288,2.0,6.9,poison,903
24,arbok,Gen 1,35,650,157,60,95,69,65,79,80,poison,,448,3.5,65.0,poison,522
25,pikachu,Gen 1,4,60,112,35,55,40,50,50,90,electric,,320,0.4,6.0,electric,772
26,raichu,Gen 1,8,300,218,60,90,55,90,80,110,electric,,485,0.8,30.0,electric,372
27,sandshrew,Gen 1,6,120,60,50,75,85,20,30,40,ground,,300,0.6,12.0,ground,856
28,sandslash,Gen 1,10,295,158,75,100,110,45,55,65,ground,,450,1.0,29.5,ground,512
29,nidoran-f,Gen 1,4,70,55,55,47,52,40,40,41,poison,,275,0.4,7.0,poison,926
30,nidorina,Gen 1,8,200,128,70,62,67,55,55,56,poison,,365,0.8,20.0,poison,676
31,nidoqueen,Gen 1,13,600,227,90,92,87,75,85,76,poison,ground,505,1.3,60.0,poison / ground,262
32,nidoran-m,Gen 1,5,90,55,46,57,40,40,40,50,poison,,273,0.5,9.0,poison,933
33,nidorino,Gen 1,9,195,128,61,72,57,55,55,65,poison,,365,0.9,19.5,poison,676
34,nidoking,Gen 1,14,620,227,81,102,77,85,75,85,poison,ground,505,1.4,62.0,poison / ground,262
35,clefairy,Gen 1,6,75,113,70,45,48,60,65,35,fairy,,323,0.6,7.5,fairy,770
36,clefable,Gen 1,13,400,217,95,70,73,95,90,60,fairy,,483,1.3,40.0,fairy,396
37,vulpix,Gen 1,6,99,60,38,41,40,50,65,65,fire,,299,0.6,9.9,fire,880
38,ninetales,Gen 1,11,199,177,73,76,75,81,100,100,fire,,505,1.1,19.9,fire,262
39,jigglypuff,Gen 1,5,55,95,115,45,20,45,25,20,normal,fairy,270,0.5,5.5,normal / fairy,935
40,wigglytuff,Gen 1,10,120,196,140,70,45,85,50,45,normal,fairy,435,1.0,12.0,normal / fairy,538
41,zubat,Gen 1,8,75,49,40,45,35,30,40,55,poison,flying,245,0.8,7.5,poison / flying,976
42,golbat,Gen 1,16,550,159,75,80,70,65,75,90,poison,flying,455,1.6,55.0,poison / flying,494
43,oddish,Gen 1,5,54,64,45,50,55,75,65,30,grass,poison,320,0.5,5.4,grass / poison,772
44,gloom,Gen 1,8,86,138,60,65,70,85,75,40,grass,poison,395,0.8,8.6,grass / poison,640
45,vileplume,Gen 1,12,186,221,75,80,85,110,90,50,grass,poison,490,1.2,18.6,grass / poison,338
46,paras,Gen 1,3,54,57,35,70,55,45,55,25,bug,grass,285,0.3,5.4,bug / grass,907
47,parasect,Gen 1,10,295,142,60,95,80,60,80,30,bug,grass,405,1.0,29.5,bug / grass,605
48,venonat,Gen 1,10,300,61,60,55,50,40,55,45,bug,poison,305,1.0,30.0,bug / poison,833
49,venomoth,Gen 1,15,125,158,70,65,60,90,75,90,bug,poison,450,1.5,12.5,bug / poison,512
50,diglett,Gen 1,2,8,53,10,55,25,35,45,95,ground,,265,0.2,0.8,ground,946
51,dugtrio,Gen 1,7,333,149,35,100,50,50,70,120,ground,,425,0.7,33.3,ground,553
52,meowth,Gen 1,4,42,58,40,45,35,40,40,90,normal,,290,0.4,4.2,normal,892
53,persian,Gen 1,10,320,154,65,70,60,65,65,115,normal,,440,1.0,32.0,normal,527
54,psyduck,Gen 1,8,196,64,50,52,48,65,50,55,water,,320,0.8,19.6,water,772
55,golduck,Gen 1,17,766,175,80,82,78,95,80,85,water,,500,1.7,76.6,water,278
56,mankey,Gen 1,5,280,61,40,80,35,35,45,70,fighting,,305,0.5,28.0,fighting,833
57,primeape,Gen 1,10,320,159,65,105,60,60,70,95,fighting,,455,1.0,32.0,fighting,494
58,growlithe,Gen 1,7,190,70,55,70,45,70,50,60,fire,,350,0.7,19.0,fire,701
59,arcanine,Gen 1,19,1550,194,90,110,80,100,80,95,fire,,555,1.9,155.0,fire,124
60,poliwag,Gen 1,6,124,60,40,50,40,40,40,90,water,,300,0.6,12.4,water,856
61,poliwhirl,Gen 1,10,200,135,65,65,65,50,50,90,water,,385,1.0,20.0,water,653
62,poliwrath,Gen 1,13,540,230,90,95,95,70,90,70,water,fighting,510,1.3,54.0,water / fighting,237
63,abra,Gen 1,9,195,62,25,20,15,105,55,90,psychic,,310,0.9,19.5,psychic,804
64,kadabra,Gen 1,13,565,140,40,35,30,120,70,105,psychic,,400,1.3,56.5,psychic,633
65,alakazam,Gen 1,15,480,225,55,50,45,135,95,120,psychic,,500,1.5,48.0,psychic,278
66,machop,Gen 1,8,195,61,70,80,50,35,35,35,fighting,,305,0.8,19.5,fighting,833
67,machoke,Gen 1,15,705,142,80,100,70,50,60,45,fighting,,405,1.5,70.5,fighting,605
68,machamp,Gen 1,16,1300,227,90,130,80,65,85,55,fighting,,505,1.6,130.0,fighting,262
69,bellsprout,Gen 1,7,40,60,50,75,35,70,30,40,grass,poison,300,0.7,4.0,grass / poison,856
70,weepinbell,Gen 1,10,64,137,65,90,50,85,45,55,grass,poison,390,1.0,6.4,grass / poison,646
